"word","translation","pronunciation","category","example","exampleTranslation"
"la piscine","swimming pool","/la piˈsin/","Les Sports - Sports  ","La piscine accueille l’équipe pour le match.","The swimming pool hosts the team for the match."
"le ballon","ball","/lə baˈlɔ̃/","Les Sports - Sports  ","Le sport se joue sur le terrain avec le ballon.","The sport is played on the field with the ball."
"le but","goal","/lə by/","Les Sports - Sports  ","Le but est marqué pendant le match.","The goal is scored during the match."
"le match","match","/lə matʃ/","Les Sports - Sports  ","Le but est marqué pendant le match.","The goal is scored during the match."
"le sport","sport","/lə spɔːʁ/","Les Sports - Sports  ","Le sport se joue sur le terrain avec le ballon.","The sport is played on the field with the ball."
"le terrain","field","/lə tɛˈʁɛ̃/","Les Sports - Sports  ","Je roule le vélo autour du terrain.","I ride the bicycle around the field."
"le vélo","bicycle","/lə veˈlo/","Les Sports - Sports  ","Je roule le vélo autour du terrain.","I ride the bicycle around the field."
"Aime avec passion","Love with passion","/ɛm.a.vɛk.pa.sjɔ̃/","Les Sports - Sports (Phrases)","Il faut aime avec passion ce que tu fais.","You must love with passion what you do."
"Aime avec tendresse","Love with tenderness","/ɛm.a.vɛk.tɑ̃.dʁɛs/","Les Sports - Sports (Phrases)","Aime avec tendresse et douceur.","Love with tenderness and gentleness."
"Aime chaque instant","Love every moment","/ɛm.ʃak.ɛ̃s.tɑ̃/","Les Sports - Sports (Phrases)","Aime chaque instant de ta vie.","Love every moment of your life."
"Aime comme jamais","Love like never before","/ɛm.kɔm.ʒa.mɛ/","Les Sports - Sports (Phrases)","Aime comme jamais et profite du moment présent.","Love like never before and enjoy the present moment."
"Aime en secret","Love in secret","/ɛm.ɑ̃.sə.ɡʁɛ/","Les Sports - Sports (Phrases)","Elle aime en secret depuis longtemps.","She has loved in secret for a long time."
"Aime la vie","Love life","/ɛm.la.vi/","Les Sports - Sports (Phrases)","Aime la vie avec tout ce qu’elle t’apporte.","Love life with everything it brings you."
"Aime sans condition","Love unconditionally","/ɛm.sɑ̃.kɔ̃.di.sjɔ̃/","Les Sports - Sports (Phrases)","Les parents aime sans condition leurs enfants.","Parents love their children unconditionally."
"Aime sincèrement","Love sincerely","/ɛm.sɛ̃.sɛʁ.mɑ̃/","Les Sports - Sports (Phrases)","Aime sincèrement et tu recevras le même en retour.","Love sincerely and you will receive the same in return."
"l’avion","airplane","/laˈvjɔ̃/","Les Transports - Transportation  ","L’avion décolle après le bateau sur l’eau.","The airplane takes off after the boat on the water."
"la gare","station","/la ɡaːʁ/","Les Transports - Transportation  ","Le bus s’arrête près de la gare pour le train.","The bus stops near the station for the train."
"la voiture","car","/la vwaˈtyːʁ/","Les Transports - Transportation  ","La voiture suit le bateau le long de la côte.","The car follows the boat along the coast."
"le bateau","boat","/lə baˈto/","Les Transports - Transportation  ","L’avion décolle après le bateau sur l’eau.","The airplane takes off after the boat on the water."
"le bus","bus","/lə bys/","Les Transports - Transportation  ","Le bus s’arrête près de la gare pour le train.","The bus stops near the station for the train."
"le train","train","/lə tʁɛ̃/","Les Transports - Transportation  ","Le bus s’arrête près de la gare pour le train.","The bus stops near the station for the train."
"le transport","transportation","/lə tʁɑ̃sˈpɔːʁ/","Les Transports - Transportation  ","Le transport en la voiture est rapide.","Transportation by car is fast."
"le vélo","bicycle","/lə veˈlo/","Les Transports - Transportation  ","Le vélo est utilisé dans la gare pour se déplacer.","The bicycle is used in the station to move around."
"Apprends à voler","Learn to fly","/a.pʁɑ̃.a.vɔ.le/","Les Transports - Transportation (Phrases)","Avec courage, apprends à voler vers tes rêves.","With courage, learn to fly toward your dreams."
"Apprends avec passion","Learn with passion","/a.pʁɑ̃.a.vɛk.pa.sjɔ̃/","Les Transports - Transportation (Phrases)","Pour progresser, apprends avec passion.","To progress, learn with passion."
"Apprends chaque jour","Learn every day","/a.pʁɑ̃.ʃak.ʒuʁ/","Les Transports - Transportation (Phrases)","Apprends chaque jour quelque chose de nouveau.","Learn something new every day."
"Apprends des autres","Learn from others","/a.pʁɑ̃.dez.o.tʁə/","Les Transports - Transportation (Phrases)","Apprends des autres et partage ton savoir.","Learn from others and share your knowledge."
"Apprends en silence","Learn in silence","/a.pʁɑ̃.ɑ̃.si.lɑ̃s/","Les Transports - Transportation (Phrases)","À l’école, apprends en silence pour mieux comprendre.","At school, learn in silence to better understand."
"Apprends la sagesse","Learn wisdom","/a.pʁɑ̃.la.sa.ʒɛs/","Les Transports - Transportation (Phrases)","Apprends la sagesse à travers l’expérience.","Learn wisdom through experience."
"Apprends par cœur","Learn by heart","/a.pʁɑ̃.paʁ.kœʁ/","Les Transports - Transportation (Phrases)","Apprends par cœur ce poème pour demain.","Learn this poem by heart for tomorrow."
"Apprends sans hâte","Learn without haste","/a.pʁɑ̃.sɑ̃.ɑt/","Les Transports - Transportation (Phrases)","Apprends sans hâte, mais avec constance.","Learn without haste, but with constancy."
"l’écharpe","scarf","/leˈʃaʁp/","Les Vêtements - Clothing","L’écharpe protège du froid avec le chapeau.","The scarf protects from the cold with the hat."
"la chaussure","shoe","/la ʃoˈsyːʁ/","Les Vêtements - Clothing","Elle porte la robe et la chaussure pour la fête.","She wears the dress and shoes for the party."
"la chemise","shirt","/la ʃəˈmiz/","Les Vêtements - Clothing","J’achète la chemise et le pantalon pour l’école.","I buy the shirt and pants for school."
"la robe","dress","/la ʁɔb/","Les Vêtements - Clothing","Le vêtement préféré de Marie est la robe élégante.","Marie’s favorite clothing is the elegant dress."
"la veste","jacket","/la vɛst/","Les Vêtements - Clothing","La chaussure va bien avec la veste en cuir.","The shoe goes well with the leather jacket."
"le chapeau","hat","/lə ʃaˈpo/","Les Vêtements - Clothing","L’écharpe protège du froid avec le chapeau.","The scarf protects from the cold with the hat."
"le pantalon","pants","/lə pɑ̃taˈlɔ̃/","Les Vêtements - Clothing","J’achète la chemise et le pantalon pour l’école.","I buy the shirt and pants for school."
"le vêtement","clothing","/lə vɛtˈmɑ̃/","Les Vêtements - Clothing","Le vêtement préféré de Marie est la robe élégante.","Marie’s favorite clothing is the elegant dress."
"Crée avec amour","Create with love","/kʁe.e.a.vɛk.a.muʁ/","Les Vêtements - Clothing (Phrases)","Crée avec amour pour donner plus de sens à ton travail.","Create with love to give more meaning to your work."
"Crée des souvenirs","Create memories","/kʁe.e.de.su.və.niʁ/","Les Vêtements - Clothing (Phrases)","Voyage pour crée des souvenirs inoubliables.","Travel to create unforgettable memories."
"Crée quelque chose","Create something","/kʁe.e.kɛl.kə.ʃoz/","Les Vêtements - Clothing (Phrases)","Chaque jour, essaie de crée quelque chose de nouveau.","Every day, try to create something new."
"Crée sans fin","Create endlessly","/kʁe.e.sɑ̃.fɛ̃/","Les Vêtements - Clothing (Phrases)","L’artiste inspire et crée sans fin.","The artist inspires and creates endlessly."
"Crée ton art","Create your art","/kʁe.e.tɔ̃.naʁ/","Les Vêtements - Clothing (Phrases)","N’aie pas peur, crée ton art unique.","Don’t be afraid, create your unique art."
"Crée ton avenir","Create your future","/kʁe.e.tɔ̃.na.və.niʁ/","Les Vêtements - Clothing (Phrases)","Crée ton avenir avec détermination et espoir.","Create your future with determination and hope."
"Crée ton style","Create your style","/kʁe.e.tɔ̃.stil/","Les Vêtements - Clothing (Phrases)","Exprime-toi et crée ton style.","Express yourself and create your style."
"Crée une histoire","Create a story","/kʁe.e.yn.is.twaʁ/","Les Vêtements - Clothing (Phrases)","Chaque vie crée une histoire différente.","Every life creates a different story."
